transaction_id,source_system,supplier_id,supplier_name,category,department,amount,currency,contract_id,contract_status,requisition_id,transaction_date,normalised_supplier,is_credit_note
TXN000288,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,Logistics,21352.07,INR,CTR0002,ON_CONTRACT,,2025-11-19,cloudspan software,False
TXN000298,CORPORATE_CARD,SUP0004,Arcadia IT Traders,It Hardware,Operations,25185.41,INR,,NO_CONTRACT,REQ00104,2026-01-30,arcadia it traders,False
TXN000299,CORPORATE_CARD,SUP0002,Zenith Computing,It Hardware,R&D,50036.91,INR,,NO_CONTRACT,REQ00553,2025-07-21,zenith computing,False
TXN000311,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Logistics,19755.25,INR,,OFF_CONTRACT,REQ00740,2025-11-27,pulse marketing,False
TXN000332,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Finance,18232.28,INR,CTR0006,ON_CONTRACT,REQ00280,2025-11-17,prime facility care,False
TXN000334,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Facilities,14116.42,INR,CTR0007,ON_CONTRACT,REQ00390,2026-03-31,lumen creative,False
TXN000348,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Human Resources,3788.46,INR,,NO_CONTRACT,,2025-11-03,vertex licensing,False
TXN000356,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,It,20256.71,INR,,NO_CONTRACT,,2026-02-26,vertex licensing,False
TXN000359,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Operations,6347.52,INR,CTR0003,ON_CONTRACT,REQ00440,2025-10-17,orion office supplies,False
TXN000362,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Marketing,15847.65,INR,,OFF_CONTRACT,,2026-03-28,urban upkeep,False
TXN000363,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Marketing,11118.71,INR,,OFF_CONTRACT,REQ00145,2025-12-18,voyager corporate travel,False
TXN000374,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,10185.6,INR,,OFF_CONTRACT,,2025-05-01,urban upkeep,False
TXN000377,CORPORATE_CARD,SUP0026,Nexa Tech Pvt Ltd,It Hardware,Marketing,56210.78,INR,,NO_CONTRACT,,2025-08-05,nexa tech,False
TXN000381,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,R&D,8832.81,INR,CTR0008,ON_CONTRACT,REQ00440,2025-07-18,transcore logistics,False
TXN000389,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Facilities,27516.75,INR,,NO_CONTRACT,,2025-05-23,vertex licensing,False
TXN000392,CORPORATE_CARD,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Facilities,4687.88,INR,,OFF_CONTRACT,REQ00127,2026-01-27,orion office supplies,False
TXN000394,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,It,67467.94,INR,CTR0004,ON_CONTRACT,,2026-03-04,sterling advisory,False
TXN000395,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,7426.2,INR,,OFF_CONTRACT,REQ00116,2025-08-02,voyager corporate travel,False
TXN000401,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Facilities,6480.77,INR,CTR0006,ON_CONTRACT,REQ00448,2025-08-01,prime facility care,False
TXN000403,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,It,10019.29,INR,,OFF_CONTRACT,REQ00356,2025-12-24,voyager corporate travel,False
TXN000420,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Operations,30758.75,INR,,OFF_CONTRACT,REQ00789,2026-01-25,brightarc media,False
TXN000433,CORPORATE_CARD,SUP0009,Paperline Traders,Office Supplies,R&D,6311.78,INR,,OFF_CONTRACT,,2025-10-01,paperline traders,False
TXN000446,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,R&D,28722.79,INR,CTR0007,ON_CONTRACT,,2026-01-16,lumen creative,False
TXN000448,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Marketing,16500.94,INR,CTR0008,ON_CONTRACT,,2025-05-16,transcore logistics,False
TXN000456,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Human Resources,32828.32,INR,,OFF_CONTRACT,REQ00051,2025-10-19,pulse marketing,False
TXN000462,CORPORATE_CARD,SUP0001,Nexa Technologies Pvt Ltd,It Hardware,R&D,22488.7,INR,CTR0001,ON_CONTRACT,,2026-01-27,nexa technologies,False
TXN000471,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,6979.4,INR,,OFF_CONTRACT,REQ00634,2026-02-06,brightarc media,False
TXN000490,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Human Resources,52992.8,INR,CTR0007,ON_CONTRACT,REQ00429,2025-10-25,lumen creative,False
TXN000491,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Operations,26948.56,INR,,OFF_CONTRACT,,2026-02-21,pulse marketing,False
TXN000494,CORPORATE_CARD,SUP0010,Kanban Stationers,Office Supplies,Human Resources,1370.86,INR,,OFF_CONTRACT,REQ00340,2025-10-08,kanban stationers,False
TXN000505,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Logistics,9712.93,INR,CTR0006,ON_CONTRACT,REQ00193,2025-06-24,prime facility care,False
TXN000507,CORPORATE_CARD,SUP0027,Orion Office Supplies Ltd,Office Supplies,It,8896.81,INR,,OFF_CONTRACT,,2025-04-25,orion office supplies,False
TXN000510,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Facilities,18608.7,INR,CTR0005,ON_CONTRACT,REQ00804,2025-05-25,skyroute travel,False
TXN000520,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Marketing,914.99,INR,CTR0003,ON_CONTRACT,REQ00605,2025-12-04,orion office supplies,False
TXN000524,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Logistics,20305.14,INR,,OFF_CONTRACT,REQ00693,2026-02-23,greenedge services,False
TXN000530,CORPORATE_CARD,SUP0026,Nexa Tech Pvt Ltd,It Hardware,Operations,53390.19,INR,,NO_CONTRACT,,2025-11-20,nexa tech,False
TXN000551,CORPORATE_CARD,SUP0002,Zenith Computing,It Hardware,Operations,40589.44,INR,,NO_CONTRACT,,2026-03-27,zenith computing,False
TXN000552,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,12772.73,INR,,OFF_CONTRACT,REQ00182,2026-03-16,urban upkeep,False
TXN000561,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Logistics,18664.49,INR,,OFF_CONTRACT,REQ00304,2026-02-28,pulse marketing,False
TXN000565,CORPORATE_CARD,SUP0010,Kanban Stationers,Office Supplies,Human Resources,1623.91,INR,,OFF_CONTRACT,,2026-01-20,kanban stationers,False
TXN000567,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,It,18850.55,INR,CTR0002,ON_CONTRACT,,2025-05-08,cloudspan software,False
TXN000573,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Human Resources,37446.42,INR,,OFF_CONTRACT,REQ00186,2026-03-10,cobalt consulting,False
TXN000576,CORPORATE_CARD,SUP0013,Adept Partners,Professional Services,Finance,100556.24,INR,,OFF_CONTRACT,,2025-09-04,adept partners,False
TXN000581,CORPORATE_CARD,SUP0007,Meridian Softworks,It Software & Licences,Operations,24891.34,INR,,NO_CONTRACT,,2026-01-08,meridian softworks,False
TXN000595,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Marketing,62394.47,INR,,OFF_CONTRACT,REQ00525,2025-04-21,cobalt consulting,False
TXN000597,CORPORATE_CARD,SUP0025,NEXA TECHNOLOGIES PVT. LTD.,It Hardware,Logistics,30195.47,INR,,NO_CONTRACT,,2025-11-28,nexa technologies,False
TXN000599,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Facilities,10141.81,INR,CTR0005,ON_CONTRACT,REQ00395,2025-06-07,skyroute travel,False
TXN000602,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,R&D,18612.18,INR,,NO_CONTRACT,REQ00380,2025-04-23,vertex licensing,False
TXN000610,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Operations,20903.71,INR,,OFF_CONTRACT,REQ00717,2025-06-22,greenedge services,False
TXN000614,CORPORATE_CARD,SUP0004,Arcadia IT Traders,It Hardware,It,11539.2,INR,,NO_CONTRACT,,2025-06-29,arcadia it traders,False
TXN000616,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,Marketing,60194.66,INR,CTR0004,ON_CONTRACT,REQ00283,2025-10-22,sterling advisory,False
TXN000621,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,10173.28,INR,,OFF_CONTRACT,,2025-11-21,voyager corporate travel,False
TXN000628,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,It,31237.65,INR,CTR0002,ON_CONTRACT,,2025-10-08,cloudspan software,False
TXN000633,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Human Resources,15663.39,INR,,NO_CONTRACT,REQ00628,2025-09-23,vertex licensing,False
TXN000647,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Marketing,17358.33,INR,,OFF_CONTRACT,REQ00024,2025-06-04,voyager corporate travel,False
TXN000650,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,R&D,11803.63,INR,CTR0002,ON_CONTRACT,REQ00254,2025-08-24,cloudspan software,False
TXN000658,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Operations,24351.68,INR,CTR0007,ON_CONTRACT,REQ00433,2026-02-15,lumen creative,False
TXN000664,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,5055.2,INR,,OFF_CONTRACT,REQ00795,2025-10-18,fleetbridge cargo,False
TXN000668,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Human Resources,7334.25,INR,,OFF_CONTRACT,REQ00306,2025-07-11,greenedge services,False
TXN000671,CORPORATE_CARD,SUP0002,Zenith Computing,It Hardware,Operations,18493.83,INR,,NO_CONTRACT,REQ00094,2026-03-18,zenith computing,False
TXN000679,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Uncategorised,Finance,59132.26,INR,,NO_CONTRACT,REQ00330,2025-05-27,pulse marketing,False
TXN000690,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,14730.76,INR,,OFF_CONTRACT,REQ00464,2025-11-16,brightarc media,False
TXN000698,CORPORATE_CARD,SUP0004,Arcadia IT Traders,It Hardware,Marketing,19132.69,INR,,NO_CONTRACT,REQ00715,2025-07-23,arcadia it traders,False
TXN000699,CORPORATE_CARD,SUP0009,Paperline Traders,Office Supplies,Operations,1486.74,INR,,OFF_CONTRACT,REQ00806,2025-10-19,paperline traders,False
TXN000702,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,Operations,10625.87,INR,CTR0004,ON_CONTRACT,REQ00273,2025-11-07,sterling advisory,False
TXN000721,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,R&D,99465.14,INR,,OFF_CONTRACT,,2025-06-14,cobalt consulting,False
TXN000725,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Finance,18125.08,INR,,OFF_CONTRACT,REQ00799,2025-12-01,voyager corporate travel,False
TXN000726,CORPORATE_CARD,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Logistics,7767.37,INR,,OFF_CONTRACT,REQ00168,2025-07-08,orion office supplies,False
TXN000730,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,It,15994.97,INR,,OFF_CONTRACT,REQ00463,2025-11-20,brightarc media,False
TXN000732,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Human Resources,22088.34,INR,,OFF_CONTRACT,,2025-08-25,pulse marketing,False
TXN000749,CORPORATE_CARD,SUP0001,Nexa Technologies Pvt Ltd,It Hardware,Logistics,56054.86,INR,CTR0001,ON_CONTRACT,,2026-02-04,nexa technologies,False
TXN000757,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Finance,18687.49,INR,CTR0008,ON_CONTRACT,REQ00834,2025-10-29,transcore logistics,False
TXN000766,CORPORATE_CARD,SUP0007,Meridian Softworks,It Software & Licences,Logistics,14205.47,INR,,NO_CONTRACT,REQ00886,2025-12-24,meridian softworks,False
TXN000770,CORPORATE_CARD,SUP0007,Meridian Softworks,It Software & Licences,Finance,30796.62,INR,,NO_CONTRACT,REQ00722,2025-08-24,meridian softworks,False
TXN000772,CORPORATE_CARD,SUP0024,Nexa Technologies,It Hardware,R&D,28393.76,INR,,NO_CONTRACT,REQ00611,2026-01-29,nexa technologies,False
TXN000785,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,It,7651.38,INR,,OFF_CONTRACT,,2026-03-05,brightarc media,False
TXN000795,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Logistics,3866.2,INR,,OFF_CONTRACT,REQ00232,2025-07-05,fleetbridge cargo,False
TXN000807,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,It,6940.85,INR,CTR0003,ON_CONTRACT,REQ00087,2025-06-14,orion office supplies,False
TXN000809,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Facilities,3135.9,INR,CTR0003,ON_CONTRACT,REQ00476,2025-10-22,orion office supplies,False
TXN000810,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,R&D,8040.12,INR,,OFF_CONTRACT,REQ00149,2025-12-28,fleetbridge cargo,False
TXN000814,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,28882.73,INR,,OFF_CONTRACT,REQ00011,2026-03-11,fleetbridge cargo,False
TXN000820,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,25501.82,INR,,OFF_CONTRACT,,2025-10-13,brightarc media,False
TXN000825,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,24332.19,INR,CTR0008,ON_CONTRACT,REQ00338,2025-10-18,transcore logistics,False
TXN000829,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,R&D,18763.5,INR,,NO_CONTRACT,,2025-09-01,vertex licensing,False
TXN000830,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Logistics,24655.83,INR,,OFF_CONTRACT,,2025-06-11,pulse marketing,False
TXN000831,CORPORATE_CARD,SUP0002,Zenith Computing,It Hardware,Human Resources,19611.95,INR,,NO_CONTRACT,REQ00855,2025-11-17,zenith computing,False
TXN000833,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Logistics,5209.58,INR,,OFF_CONTRACT,,2025-11-28,fleetbridge cargo,False
TXN000834,CORPORATE_CARD,SUP0001,Nexa Technologies Pvt Ltd,It Hardware,Human Resources,8076.56,INR,CTR0001,ON_CONTRACT,,2025-05-20,nexa technologies,False
TXN000837,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Marketing,16045.57,INR,,OFF_CONTRACT,REQ00813,2025-07-19,urban upkeep,False
TXN000844,CORPORATE_CARD,SUP0004,Arcadia IT Traders,It Hardware,Finance,58037.62,INR,,NO_CONTRACT,REQ00572,2025-07-30,arcadia it traders,False
TXN000846,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Marketing,26994.04,INR,,OFF_CONTRACT,,2025-11-29,cobalt consulting,False
TXN000847,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,3109.45,INR,CTR0008,ON_CONTRACT,REQ00258,2025-09-19,transcore logistics,False
TXN000848,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Logistics,40497.65,INR,,OFF_CONTRACT,REQ00073,2025-07-30,fleetbridge cargo,False
TXN000865,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Finance,13180.99,INR,,OFF_CONTRACT,,2025-04-29,voyager corporate travel,False
TXN000871,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Facilities,13319.09,INR,,OFF_CONTRACT,REQ00469,2025-05-15,fleetbridge cargo,False
TXN000875,CORPORATE_CARD,SUP0013,Adept Partners,Professional Services,Finance,12398.4,INR,,OFF_CONTRACT,REQ00682,2026-03-23,adept partners,False
TXN000897,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,R&D,10923.98,INR,,OFF_CONTRACT,REQ00705,2026-02-25,voyager corporate travel,False
TXN000900,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Marketing,3722.97,INR,,NO_CONTRACT,REQ00900,2026-03-21,vertex licensing,False
TXN000902,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Facilities,1760.87,INR,,OFF_CONTRACT,,2025-06-25,voyager corporate travel,False
TXN000906,CORPORATE_CARD,SUP0013,Adept Partners,Professional Services,Facilities,90853.6,INR,,OFF_CONTRACT,REQ00079,2025-05-30,adept partners,False
TXN000913,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,Finance,18781.93,INR,CTR0002,ON_CONTRACT,REQ00513,2026-02-08,cloudspan software,False
TXN000922,CORPORATE_CARD,SUP0009,Paperline Traders,Uncategorised,Facilities,4645.34,INR,,NO_CONTRACT,REQ00411,2026-03-22,paperline traders,False
TXN000927,CORPORATE_CARD,SUP0009,Paperline Traders,Office Supplies,Marketing,3264.42,INR,,OFF_CONTRACT,REQ00696,2025-09-15,paperline traders,False
TXN000928,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Logistics,5465.71,INR,CTR0003,ON_CONTRACT,,2025-07-13,orion office supplies,False
TXN000933,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,It,30141.56,INR,,OFF_CONTRACT,REQ00507,2026-01-28,fleetbridge cargo,False
TXN000937,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,Facilities,14376.2,INR,CTR0004,ON_CONTRACT,,2025-05-29,sterling advisory,False
TXN000939,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,R&D,11908.64,INR,CTR0007,ON_CONTRACT,,2025-09-13,lumen creative,False
TXN000940,CORPORATE_CARD,SUP0007,Meridian Softworks,It Software & Licences,Marketing,15996.07,INR,,NO_CONTRACT,,2025-10-04,meridian softworks,False
TXN000941,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,25812.09,INR,,OFF_CONTRACT,REQ00305,2026-01-19,brightarc media,False
TXN000942,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Facilities,17329.85,INR,,OFF_CONTRACT,,2025-08-18,pulse marketing,False
TXN000947,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Marketing,12010.85,INR,,OFF_CONTRACT,REQ00765,2026-03-17,pulse marketing,False
TXN000954,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Marketing,26212.73,INR,,OFF_CONTRACT,REQ00585,2025-12-13,pulse marketing,False
TXN000980,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Human Resources,16675.08,INR,,OFF_CONTRACT,REQ00571,2025-05-01,greenedge services,False
TXN001004,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Human Resources,83164.95,INR,,OFF_CONTRACT,REQ00082,2025-12-01,cobalt consulting,False
TXN001020,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,8137.41,INR,,OFF_CONTRACT,REQ00410,2025-12-05,brightarc media,False
TXN001022,CORPORATE_CARD,SUP0007,Meridian Softworks,It Software & Licences,Logistics,19262.51,INR,,NO_CONTRACT,,2025-04-11,meridian softworks,False
TXN001024,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,R&D,12925.53,INR,,OFF_CONTRACT,,2026-03-11,urban upkeep,False
TXN001025,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Logistics,15646.64,INR,CTR0006,ON_CONTRACT,REQ00205,2025-06-20,prime facility care,False
TXN001036,CORPORATE_CARD,SUP0005,Cloudspan Software,It Software & Licences,Operations,24186.51,INR,CTR0002,ON_CONTRACT,REQ00772,2025-12-28,cloudspan software,False
TXN001047,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Facilities,21175.95,INR,,OFF_CONTRACT,REQ00667,2025-06-03,pulse marketing,False
